indicator,pattern,rate,tiers,seed,mape,flips,n_pairs,coverage,rel_width,n_participants,pds,flow_share
GHG,random,0.1,1,2,15.868347945263556,11.728395061728396,162,100.0,0.9490050358457699,6,0.20811933086190337,0.08732847798347411
GHG,random,0.1,1,3,13.446938906692301,8.641975308641975,162,94.73684210526315,0.947738657494776,6,0.23427909426815496,0.08341068485722643
GHG,random,0.1,1,4,15.537225707313414,10.493827160493828,162,100.0,0.9322777976006702,6,0.20961530481079438,0.1324161779239501
GHG,random,0.1,1,5,14.669916810949463,6.790123456790123,162,100.0,0.9215000059221794,6,0.21358623486008477,0.14091768797488152
GHG,random,0.1,1,6,15.777218422599661,8.641975308641975,162,100.0,0.9476576533565197,6,0.20949024746866965,0.05770615239317952
GHG,random,0.1,1,7,11.7152238653879,8.641975308641975,162,100.0,0.906729003367766,6,0.27807210233264945,0.11048818432558737
GHG,random,0.1,1,8,15.25565641170665,7.407407407407407,162,100.0,0.930226036882915,6,0.21578200165966432,0.09976154457503003
GHG,random,0.1,1,9,15.567430485291098,9.876543209876543,162,100.0,1.094970658494425,6,0.20506747740412484,0.03855455012131542
GHG,random,0.1,2,0,15.687308324479304,9.876543209876543,162,100.0,1.1128315106692501,6,0.2031732812406707,0.11235498645440392
GHG,random,0.1,2,1,15.618279862577172,9.25925925925926,162,94.73684210526315,1.0273346648574952,6,0.20468240129959414,0.06897632559829607
GHG,random,0.1,2,2,15.59175451820132,10.493827160493828,162,100.0,1.03309410601853,6,0.20555542219874648,0.06748633329062145
GHG,random,0.1,2,3,15.713441445171094,9.876543209876543,162,100.0,1.0221609441015111,6,0.20279845356427662,0.03179005278453698
GHG,random,0.1,2,4,15.278841562608992,8.641975308641975,162,100.0,1.0100208404984925,6,0.2368028275672609,0.049943537547988116
GHG,random,0.1,2,5,15.165912004901374,9.25925925925926,162,94.73684210526315,1.0121213266583806,6,0.21815125039285826,0.05817427246139673
GHG,random,0.1,2,6,17.592519963020585,9.876543209876543,162,100.0,0.9978692422299791,6,0.20990109826727887,0.13042290310679563
GHG,random,0.1,2,7,15.396606212210342,9.25925925925926,162,94.73684210526315,0.9930586115034724,6,0.23929410752204922,0.06055490720332829
GHG,random,0.1,2,8,14.601276235255076,7.407407407407407,162,89.47368421052632,1.0484479721497846,6,0.27720526358279357,0.09734752431153824
GHG,random,0.1,2,9,15.309174475836373,8.024691358024691,162,94.73684210526315,0.9779344202040908,6,0.24792989555519732,0.06627576760540027
GHG,random,0.1,3,0,14.235292372893385,7.407407407407407,162,94.73684210526315,0.9367441824844779,6,0.21187381422521182,0.0541033202839361
GHG,random,0.1,3,1,13.833167463812924,7.407407407407407,162,100.0,0.9764840754201181,6,0.24391894017696186,0.11587049124494683
GHG,random,0.1,3,2,15.815109598042326,7.407407407407407,162,84.21052631578947,1.0150628725054847,6,0.25846148870068775,0.08621293922142606
GHG,random,0.1,3,3,15.15650574123243,9.876543209876543,162,89.47368421052632,0.9300904796323948,6,0.20873206668558383,0.03955846747278284
GHG,random,0.1,3,4,13.681655720604235,6.172839506172839,162,100.0,0.9036166630502903,6,0.23282915256728887,0.06697150765935762
GHG,random,0.1,3,5,18.510203867034768,8.641975308641975,162,94.73684210526315,0.8840098220724647,6,0.21328011360289795,0.05773260392840255
GHG,random,0.1,3,6,13.409563792887461,9.25925925925926,162,100.0,0.909425446055029,6,0.23641183183726672,0.09513617688106407
GHG,random,0.1,3,7,14.424947616871965,9.876543209876543,162,100.0,0.9685799396203018,6,0.2220347555214538,0.0907846193720355
GHG,random,0.1,3,8,17.65691207077941,9.25925925925926,162,100.0,1.0122594532474682,6,0.20650606576094516,0.09751427422736911
GHG,random,0.1,3,9,12.687074419218321,8.024691358024691,162,94.73684210526315,0.9834011945045287,6,0.26874995283536973,0.13492858468870192
GHG,random,0.1,0,0,15.335397445602423,8.024691358024691,162,100.0,1.0013034631943107,6,0.212346606795305,0.05793002827769458
GHG,random,0.1,0,1,15.351731136628215,8.641975308641975,162,94.73684210526315,0.9192434561426881,6,0.2402918636022741,0.08238641920406052
GHG,random,0.1,0,2,13.811790241759219,9.25925925925926,162,84.21052631578947,0.954316752695693,6,0.23665741835271353,0.14800324841947513
GHG,random,0.1,0,3,15.870911996553538,9.876543209876543,162,100.0,0.9431195036383352,6,0.22206061680573974,0.066559657667312
GHG,random,0.1,0,4,12.953034743490644,8.024691358024691,162,94.73684210526315,0.9178663826403802,6,0.26101021592480456,0.08215367757580831
GHG,random,0.1,0,5,15.606031857154079,10.493827160493828,162,100.0,1.01228443542655,6,0.20720463134466005,0.07775777077924848
GHG,random,0.1,0,6,14.556088505270592,6.172839506172839,162,100.0,0.9885573200042694,6,0.20772443784269146,0.12329020858154227
GHG,random,0.1,0,7,13.255674107606632,10.493827160493828,162,100.0,1.012431534855771,6,0.25961539807036377,0.13797106088460845
GHG,random,0.1,0,8,13.380262688118949,9.25925925925926,162,100.0,0.8724647332200811,6,0.23110449015407042,0.06516770276188193
GHG,random,0.1,0,9,15.357149780064997,11.11111111111111,162,94.73684210526315,0.9708291502216623,6,0.22323201115827795,0.06843013133503778
GHG,random,0.2,1,0,7.465143190726477,4.320987654320987,162,100.0,0.9030708287840594,13,0.2541995770778669,0.18779285315056674
GHG,random,0.2,1,1,14.66243507205581,8.641975308641975,162,100.0,1.051138131114986,13,0.2594264015167608,0.2513460283874039
GHG,random,0.2,1,2,16.80640104873711,9.876543209876543,162,100.0,0.8718360910833746,13,0.22715899323088357,0.20141639880706777
GHG,random,0.2,1,3,11.946742213342338,11.728395061728396,162,100.0,1.0380257698041864,13,0.24710951300890102,0.1699381645770391
